Class,Confidence,x1,y1,x2,y2,Object ID
person,0.94,136,108,620,478,1
chair,0.32,568,402,638,478,1
person,0.93,136,102,618,478,2
chair,0.31,570,402,638,478,2
person,0.93,134,98,618,478,3
chair,0.39,570,402,638,478,3
person,0.93,136,96,620,478,4
chair,0.45,570,402,638,478,4
couch,0.36,0,406,164,478,1
person,0.93,136,96,618,478,5
chair,0.37,570,402,638,478,5
couch,0.29,0,406,164,478,2
person,0.93,140,96,618,478,6
chair,0.36,570,402,638,478,6
couch,0.35,0,406,164,478,3
person,0.93,140,96,618,478,7
couch,0.37,0,406,164,478,4
chair,0.36,574,402,638,478,7
person,0.93,140,96,618,478,8
chair,0.37,576,402,638,478,8
couch,0.34,0,406,164,478,5
person,0.92,150,96,612,478,9
chair,0.42,584,402,638,476,9
couch,0.3,0,406,164,478,6
person,0.92,150,98,612,478,10
chair,0.48,586,402,638,478,10
couch,0.45,0,406,164,478,7
person,0.91,158,100,620,478,11
couch,0.52,0,406,164,478,8
chair,0.44,590,402,638,476,11
person,0.89,164,110,628,478,12
chair,0.34,604,402,638,478,12
person,0.91,178,114,632,478,13
chair,0.4,612,402,638,478,13
person,0.91,188,120,636,478,14
couch,0.28,0,386,232,478,9
person,0.93,192,122,638,478,15
person,0.92,188,120,638,478,16
person,0.93,184,110,636,478,17
person,0.92,178,106,636,478,18
person,0.92,160,104,634,478,19
chair,0.37,610,402,638,478,14
couch,0.28,0,406,166,478,10
person,0.93,136,98,634,478,20
chair,0.39,604,402,638,478,15
person,0.93,124,96,632,478,21
chair,0.26,594,402,638,476,16
person,0.91,112,94,616,478,22
chair,0.28,576,402,638,478,17
person,0.91,98,94,604,478,23
chair,0.35,570,402,638,478,18
couch,0.28,0,406,144,478,11
person,0.92,100,96,606,478,24
chair,0.4,568,402,638,478,19
person,0.93,114,98,614,478,25
chair,0.45,572,402,638,478,20
person,0.93,120,100,616,478,26
chair,0.46,572,402,638,478,21
person,0.94,122,100,614,478,27
chair,0.33,572,402,638,478,22
person,0.94,120,100,612,478,28
chair,0.33,572,402,638,478,23
person,0.94,118,96,614,478,29
chair,0.41,570,402,638,478,24
person,0.94,116,96,614,478,30
chair,0.42,570,402,638,478,25
couch,0.3,0,406,156,478,12
person,0.94,116,96,610,478,31
couch,0.44,0,406,156,478,13
chair,0.36,570,402,638,478,26
person,0.93,114,96,614,478,32
chair,0.41,570,402,638,478,27
couch,0.34,0,406,154,478,14
person,0.93,114,96,610,478,33
chair,0.37,568,402,638,478,28
person,0.92,106,94,600,478,34
chair,0.37,564,402,638,478,29
couch,0.3,0,406,150,478,15
person,0.93,104,96,604,478,35
couch,0.4,0,406,146,478,16
chair,0.32,564,402,638,478,30
person,0.92,104,96,604,478,36
chair,0.31,564,402,638,478,31
person,0.92,104,96,600,478,37
chair,0.28,562,402,638,478,32
person,0.92,102,96,598,478,38
chair,0.32,560,402,638,478,33
person,0.92,102,96,600,478,39
chair,0.31,560,402,638,478,34
couch,0.29,0,404,140,478,17
person,0.92,102,96,598,478,40
chair,0.32,560,402,638,478,35
couch,0.28,0,404,140,478,18
person,0.92,100,96,604,478,41
couch,0.37,0,404,138,478,19
chair,0.33,560,402,638,478,36
person,0.92,102,96,602,478,42
chair,0.28,560,402,638,478,37
person,0.91,102,90,600,478,43
chair,0.28,560,402,638,478,38
person,0.91,100,90,602,478,44
chair,0.29,560,402,638,478,39
person,0.92,98,86,606,478,45
couch,0.31,0,404,134,478,20
chair,0.29,564,402,638,478,40
person,0.92,98,86,608,478,46
chair,0.31,564,402,638,478,41
person,0.92,100,86,608,478,47
chair,0.31,564,402,638,478,42
couch,0.27,0,404,134,478,21
person,0.92,100,86,608,478,48
couch,0.33,0,404,134,478,22
chair,0.31,564,402,638,478,43
person,0.92,100,88,606,478,49
chair,0.29,562,402,638,478,44
couch,0.26,0,404,136,478,23
person,0.92,102,90,604,478,50
chair,0.3,562,402,638,478,45
person,0.92,104,88,606,478,51
chair,0.3,566,402,638,478,46
person,0.92,106,88,616,478,52
chair,0.42,570,402,638,478,47
person,0.92,120,96,620,478,53
chair,0.32,576,402,638,478,48
person,0.93,132,96,622,478,54
person,0.94,140,94,630,478,55
couch,0.33,0,406,162,478,24
chair,0.29,592,402,638,476,49
